RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,e_BPmag,e_RPmag,BP-RP,EDR3Name,_x,_y,e_BP-RP
119.25235443908,-64.13541522203,2.8155,0.1166,13.67,-4.843,0.18,12.783,0.135,18.0803,0.003084,0.048794,0.007075,2.79984,Gaia EDR3 5275912370139291392,-3.6468428500153607,-0.10686629233055316,0.04930426006949095
118.49382726074,-64.19693478649,2.6502,0.0109,13.56,-4.68,0.018,12.727,0.014,13.4935,0.002794,0.003295,0.004008,1.02485,Gaia EDR3 5275919448245292032,-3.7115320586259597,-0.4370164732916175,0.005188553652030593
118.39249499248,-64.15608527298,2.7479,0.0496,13.825,-4.616,0.077,13.031,0.058,16.609,0.002842,0.010324,0.004385,2.50007,Gaia EDR3 5275920204159485056,-3.6714031876724555,-0.481851274230001,0.01121664838532438
118.59587193593,-64.18149666588,2.387,0.1342,11.589,-4.592,0.214,10.641,0.159,18.3505,0.003065,0.043793,0.008232,2.62582,Gaia EDR3 5275920852695974272,-3.6954445331347046,-0.3927888341820865,0.04455998959829322
119.19326281178,-64.06490085463,2.6011,0.0813,12.985,-4.628,0.145,12.132,0.098,17.6173,0.002941,0.020449,0.005791,2.53395,Gaia EDR3 5275925392480044800,-3.576437973478587,-0.13299516532216796,0.02125317110456696
119.20797843936,-64.01313750813,2.6054,0.0368,13.41,-4.852,0.061,12.502,0.041,16.164,0.002848,0.006849,0.004483,1.94075,Gaia EDR3 5275926079674763008,-3.5246457482252684,-0.12678781107584317,0.00818572476937748
118.90127760573,-64.03925950394,2.4488,0.0587,13.48,-4.71,0.089,12.63,0.068,16.9257,0.002987,0.0123,0.00496,2.3362,Gaia EDR3 5275927625862983808,-3.551681072327565,-0.2610129772081976,0.0132624130534379
119.84154564378,-64.03954912905,2.375,0.0513,12.307,-5.342,0.084,11.087,0.057,16.8319,0.002817,0.01085,0.006824,2.14206,Gaia EDR3 5275934429091335296,-3.551174848964467,0.15085182388042442,0.012817545630892055
119.43742061848,-64.07051120213,2.3999,0.124,12.392,-5.369,0.197,11.168,0.134,18.2109,0.003124,0.050827,0.006647,2.93205,Gaia EDR3 5275936452017270784,-3.5817497612599176,-0.026137983468081646,0.05125979455674788
119.3833371955,-64.01399418677,2.3994,0.0903,13.037,-4.433,0.166,12.26,0.108,17.7856,0.003003,0.030336,0.005722,2.6142,Gaia EDR3 5275937624546956544,-3.5252643844722766,-0.049902138603762934,0.03087092774763985
120.0628449827,-63.86875007594,2.5233,0.0262,12.771,-3.947,0.045,12.145,0.029,15.5359,0.002829,0.004545,0.00427,1.66138,Gaia EDR3 5275942537989554176,-3.3810595229425897,0.24928637239510978,0.006236178717772607
119.33146060452,-63.86977313369,2.5287,0.0167,13.19,-4.852,0.031,12.266,0.021,14.45,0.003117,0.009436,0.005882,1.52143,Gaia EDR3 5275953945422502784,-3.3810926017852334,-0.0730174715659791,0.011119173530438313
119.50916856139,-63.73221150726,2.4384,0.0177,12.547,-4.881,0.037,11.559,0.026,14.1059,0.002823,0.003951,0.004057,1.15126,Gaia EDR3 5275957243957358080,-3.2434385587505092,0.005318403044066359,0.00566300715168187
119.69093958991,-63.73196397748,2.6028,0.0175,12.682,-4.532,0.026,11.845,0.019,13.0595,0.002794,0.003261,0.003957,1.09441,Gaia EDR3 5275959614780585344,-3.243318168194694,0.08580788114576655,0.00512756959972266
119.73007108475,-63.69147442661,2.5596,0.15,12.41,-5.56,0.251,11.094,0.17,18.494,0.00324,0.068406,0.010424,2.77195,Gaia EDR3 5275962775876517888,-3.20288560487155,0.10328178433492402,0.06919566902631985
120.05373541052,-63.52991829843,2.5401,0.1459,11.965,-5.032,0.231,10.856,0.153,17.5347,0.003216,0.025664,0.005537,2.51879,Gaia EDR3 5275965559014032384,-3.0422044798109793,0.24819705815925108,0.0262545094221926
124.30382527163,-65.20940016563,2.804,0.0151,12.861,-5.815,0.022,11.471,0.018,14.3442,0.00291,0.004483,0.004529,1.41585,Gaia EDR3 5276100558426525312,-4.795401814320045,2.015855763043856,0.006372529325158104
124.21465431544,-65.11148080943,2.4124,0.0172,12.298,-6.273,0.026,10.578,0.021,10.9541,0.002773,0.002827,0.00379,0.486973,Gaia EDR3 5276104990834067712,-4.694974850251174,1.9857538415553542,0.004728216259859526
124.85967504237,-65.08542392771,2.3204,0.0334,12.696,-6.198,0.052,11.081,0.039,16.2486,0.002791,0.00708,0.004207,1.95265,Gaia EDR3 5276184327469189120,-4.690104685628122,2.258858994478794,0.008235608599247539
124.75955695993,-64.84063710209,2.4599,0.0295,13.165,-6.412,0.042,11.498,0.029,15.699,0.002934,0.005405,0.004537,1.68115,Gaia EDR3 5276203603282201856,-4.442607176199529,2.236907384314751,0.0070567977156781245
123.28260192368,-65.39074362584,2.5473,0.0148,13.453,-6.032,0.021,12.025,0.02,10.0805,0.002779,0.00293,0.003831,0.246902,Gaia EDR3 5276258269626067840,-4.9480662959111035,1.5773761973623606,0.004823013684409365
122.91349367142,-65.3079184196,2.4172,0.0499,11.546,-5.557,0.07,10.121,0.053,16.2832,0.002936,0.008885,0.004542,2.07874,Gaia EDR3 5276274831019880448,-4.856798245184917,1.4281572941576384,0.009978626608907661
122.26045204925,-65.23844162675,2.0764,0.1826,11.995,-5.603,0.25,10.606,0.199,18.8693,0.003455,0.096338,0.010544,2.85415,Gaia EDR3 5276320078498027776,-4.774362270750876,1.1583565463669703,0.09691329207079903
122.47093875556,-65.00224140793,2.5089,0.1418,12.779,-5.445,0.175,11.561,0.156,18.5967,0.003308,0.060907,0.008407,3.01189,Gaia EDR3 5276326469407144576,-4.542296887548017,1.2575222986235035,0.06148447200716617
121.88993081183,-64.93055406753,2.6292,0.0705,13.933,-5.774,0.095,12.68,0.078,17.4802,0.002925,0.021591,0.005578,2.8158,Gaia EDR3 5276342141746755840,-4.460490967846367,1.014640193660144,0.022299896075991026
122.15971602444,-64.79919323872,2.5833,0.0528,13.042,-4.883,0.075,12.093,0.057,15.7814,0.002947,0.007114,0.00489,1.94759,Gaia EDR3 5276345062325650304,-4.333688908032243,1.1344435374017983,0.008632560222784432
122.65154195283,-64.7996360424,2.0872,0.0292,11.851,-5.588,0.039,10.451,0.034,15.7649,0.002777,0.004659,0.003979,1.79459,Gaia EDR3 5276347811103655936,-4.343520333360331,1.3438211067902488,0.006126885179273397
122.58877745645,-64.69953684131,2.1447,0.0248,12.333,-5.64,0.034,10.968,0.028,10.9807,0.00277,0.002829,0.00379,0.441792,Gaia EDR3 5276352037352552320,-4.242239449859381,1.3219342100438085,0.004729412331357883
122.86170055109,-64.66425178693,2.7018,0.1087,13.703,-5.119,0.155,12.711,0.142,18.0375,0.003116,0.047522,0.006026,3.03889,Gaia EDR3 5276372859352830464,-4.212799755350775,1.440383194795344,0.04790253813734717
124.47228356517,-64.50888865121,2.1581,0.1471,13.15,-6.095,0.195,11.652,0.161,18.6475,0.003363,0.065721,0.010257,2.71003,Gaia EDR3 5276410856926424832,-4.102123977623658,2.1407868070449596,0.06651658357131701
124.3199918068,-64.49575659281,2.392,0.1142,13.83,-5.839,0.17,12.537,0.14,18.3444,0.003134,0.042099,0.007931,2.70034,Gaia EDR3 5276414194119324416,-4.084083107073554,2.0763666596363577,0.0428395443719935
127.32568592372,-63.75919182521,2.6232,0.0722,11.017,-3.026,0.112,10.593,0.082,17.6512,0.002934,0.025124,0.005236,2.69563,Gaia EDR3 5276662958624654464,-3.478353996800742,3.4547973245679193,0.025663808602777567
127.53054759891,-63.48649812592,2.4682,0.0179,11.569,-5.87,0.026,9.969,0.02,14.8051,0.002792,0.00379,0.00402,1.64969,Gaia EDR3 5276670345968299008,-3.2185725438342363,3.57864416867119,0.005524898189107199
127.82148998807,-63.33418875241,2.5,0.0245,11.933,-5.286,0.037,10.698,0.032,15.5638,0.002779,0.00355,0.003983,1.66741,Gaia EDR3 5276766931193728256,-3.0836679194338417,3.7271397730041897,0.00533542772418482
125.82679024844,-63.05516691115,2.0007,0.0606,11.349,-4.657,0.079,10.35,0.072,17.1547,0.002848,0.011815,0.005413,2.15528,Gaia EDR3 5276940447871282560,-2.7053997552891658,2.864588393628875,0.01299595298544897
127.75795619392,-62.54307414586,2.332,0.0468,13.525,-5.732,0.059,12.251,0.056,16.6828,0.002956,0.008945,0.005018,2.14155,Gaia EDR3 5277059744884123264,-2.2946975075992717,3.799519398810872,0.010256380891913093
121.89609123646,-64.67237481434,2.4634,0.0176,12.699,-5.42,0.025,11.485,0.023,10.6543,0.00277,0.002825,0.003787,0.374332,Gaia EDR3 5277100736052325120,-4.202571081164756,1.0269243502171557,0.004724615751571761
