  NGC 2516      7 58 49.99 -60 49.44 2000.0 3
--ID--  del_RA  del_DC    V     V-I    B-V    U-B   e(V) e(V-I)e(B-V)e(U-B)  --nobs-  BDA  Pmu FRH X HTR Ha  sp rlc Sp       name
   122 -16.283   5.819 14.129  1.190  1.052  0.896  0.010 0.012 0.012 0.013  2 2 2 1     
   123 -16.279   9.328 16.004  0.803  0.660  0.104  0.000 0.011 0.006 0.017  2 2 2 1     
   124 -16.218  16.643 14.494  0.796  0.679  0.135  0.000 0.008 0.009 0.009  2 2 2 2     
   125 -16.193  10.797 15.470  1.176  1.082  0.900  0.003 0.013 0.008 0.036  2 2 2 1     
   126 -16.182  15.210 16.692  0.856  0.667  0.037  0.000 0.012 0.033 0.040  2 2 2 1     
   127 -16.172   3.669 15.968  0.906  0.731  0.112  0.002 0.003 0.010 0.022  2 2 2 1     
   128 -16.054   2.882  9.957  0.151  0.129  0.128  0.012 0.041 0.014 0.008  1 1 1 1    7 0.99 128 +        2.1 0.0 A1V      -60 942 D10 JTP020
   129 -15.992   7.905 16.741  1.099  0.968  0.500  0.010 0.015 0.014 0.051  2 2 1 1     
   130 -15.983  17.305 15.044  1.009  0.957  0.690  0.004 0.006 0.004 0.016  2 2 2 1     
   131 -15.915   2.211 16.318  0.925  0.772  0.198  0.009 0.010 0.014 0.026  2 2 2 1     
   132 -15.875  18.619 14.231  0.850  0.746  0.238  0.009 0.011 0.010 0.012  2 2 2 2     
   133 -15.841   8.841 14.527  0.823  0.709  0.164  0.008 0.015 0.008 0.010  2 2 2 1     
   134 -15.825   1.867 16.662  0.803  0.600  0.033  0.034 0.034 0.035 0.029  2 2 2 1     
   135 -15.773   3.794 16.208  0.937  0.768  0.229  0.016 0.021 0.021 0.028  2 2 2 1     
   136 -15.738  11.600 10.545  0.306  0.273  0.146  0.012 0.027 0.018 0.013  1 1 1 1  121A0.00                               -60 943A S6022 D11
   137 -15.735  11.516 11.210  0.486  0.402  0.090  0.012 0.014 0.019 0.015  1 1 1 1  121B0.00                               -60 943B D11
   138 -15.701  16.723 13.702  0.771  0.669  0.162  0.002 0.008 0.003 0.004  2 2 2 2 1257
   139 -15.503   5.671 16.989  0.974  0.781  0.200  0.015 0.020 0.018 0.039  2 2 1 1     
   140 -15.490  19.368 16.769  1.005  0.969  0.527  0.001 0.003 0.012 0.054  2 2 2 1     
   141 -15.463  14.579 13.571  0.861  0.777  0.280  0.005 0.005 0.005 0.002  2 2 2 2 1245
   142 -15.420  -5.156 11.628  0.610  0.448  0.000  0.005 0.006 0.014 0.000  2 2 1 0  106
   143 -15.409  19.131 16.948  0.785  0.652  0.007  0.029 0.029 0.029 0.036  2 2 2 1     
   144 -15.357  -3.867 15.650  1.028  0.937  0.883  0.002 0.024 0.005 0.298  2 2 2 1     
   145 -15.297  -0.757 14.664  0.903  0.790  0.386  0.005 0.009 0.006 0.011  2 2 2 1     
   146 -15.293   5.266 15.714  0.900  0.740  0.174  0.008 0.009 0.010 0.015  2 2 2 1     
   147 -15.287  19.445 16.466  0.872  0.738  0.159  0.007 0.014 0.013 0.028  2 2 2 1     
   148 -15.286   1.310 15.545  0.892  0.702  0.173  0.008 0.008 0.009 0.018  2 2 2 1     
   149 -15.270 -15.061 15.633  1.258  1.147  0.934  0.004 0.025 0.008 0.040  2 2 2 1     
   150 -15.267 -15.011 16.200  1.329  1.195  1.133  0.009 0.016 0.013 0.058  2 2 1 1     
   151 -15.226 -13.765 12.410  0.755  0.605  0.110  0.009 0.009 0.011 0.006  2 2 2 2 1535
   152 -15.220   0.520  8.281  0.034  0.013 -0.265  0.021 0.030 0.022 0.205  1 1 1 1  112 0.99              2.2 1.0 A2IV     S6033
   153 -15.214  -7.131 15.162  0.987  0.766  0.260  0.004 0.016 0.008 0.014  2 2 2 1     
   154 -15.213  -2.757 16.856  0.957  0.816  0.338  0.012 0.012 0.015 0.046  2 2 1 1     
   155 -15.212  13.982 12.890  1.210  1.211  1.189  0.007 0.007 0.007 0.012  2 2 2 2 1244
   156 -15.177 -10.091 14.235  0.847  0.662  0.147  0.001 0.009 0.010 0.013  2 2 2 2 1571
   157 -15.141   3.389 15.716  0.799  0.618  0.150  0.002 0.008 0.002 0.008  4 4 4 2     
   158 -15.095  -8.677 16.257  0.996  0.800  0.291  0.003 0.007 0.008 0.027  2 2 2 1     
   159 -15.080  -8.034 15.336  0.878  0.672  0.016  0.000 0.008 0.002 0.010  2 2 2 1     
   160 -15.079   0.454  8.740  0.088  0.083 -0.244  0.016 0.025 0.016 0.039  1 1 1 1  208 0.99 147 +        1.8 0.0 B8p      -60 944 Vr var S6033 JTP022
   161 -15.028   6.069 16.281  1.644  1.297  1.105  0.009 0.010 0.010 0.071  2 2 2 1           195 +                         JTP023
   162 -15.021  20.948 16.698  0.899  0.786  0.176  0.004 0.021 0.004 0.027  2 2 2 1     
   163 -15.003   9.807 16.470  0.829  0.728  0.185  0.015 0.027 0.017 0.030  2 2 2 1     
   164 -14.999  19.134 15.116  0.706  0.572  0.065  0.006 0.007 0.006 0.008  2 2 2 1     
   165 -14.991   5.786 16.157  1.156  1.025  0.739  0.003 0.016 0.025 0.047  2 2 2 1     
   166 -14.955  -1.024  8.428  0.057  0.073 -0.213  0.019 0.024 0.020 0.008  1 1 1 1    5 0.99              1.851.0 B8.5IV   -60 945 D12
   167 -14.897 -10.944 14.824  0.843  0.660  0.068  0.001 0.011 0.006 0.010  2 2 2 1     
   168 -14.893  -0.144 16.407  0.939  0.839  0.259  0.035 0.036 0.036 0.032  2 2 1 1     
   169 -14.868 -11.048 16.825  0.960  0.806  0.272  0.013 0.014 0.016 0.037  2 2 1 1     
   170 -14.861   2.907 15.430  1.569  1.255  1.016  0.006 0.006 0.009 0.005  4 4 4 2           196 +                         JTP026
   171 -14.858   4.650 16.997  1.226  1.049  0.886  0.003 0.008 0.011 0.078  2 2 1 1     
   172 -14.858  18.647 14.443  1.046  0.971  0.559  0.006 0.010 0.009 0.015  2 2 2 1     
   173 -14.830  -4.809 16.596  0.938  0.861  0.353  0.006 0.006 0.010 0.035  2 2 1 1            24 R                         JTP024
   174 -14.830  -7.402 10.810  0.463  0.343  0.181  0.015 0.023 0.017 0.009  1 1 1 1    4 0.99 197 +                A7III    (Hartoog MR 1976) JTP025
   175 -14.827  10.763 16.747  1.024  0.923  0.552  0.016 0.016 0.020 0.049  2 2 2 1     
   176 -14.789 -15.181 15.325  1.258  1.134  1.029  0.008 0.009 0.014 0.028  2 2 2 1     
   177 -14.712 -14.832 15.972  1.049  0.913  0.493  0.004 0.023 0.011 0.030  2 2 2 1     
   178 -14.708   7.984 14.638  1.351  1.233  1.187  0.003 0.005 0.005 0.021  2 2 2 1     
   179 -14.700   9.684 14.311  1.012  0.924  0.562  0.007 0.012 0.007 0.009  2 2 2 1     
   180 -14.623 -10.448 12.235  0.703  0.564  0.068  0.003 0.003 0.005 0.004  2 2 2 2 1533
   181 -14.608 -11.106 16.159  1.014  0.859  0.380  0.005 0.005 0.007 0.030  2 2 2 1     
   182 -14.605   7.721 16.590  0.862  0.717  0.121  0.014 0.033 0.026 0.035  2 2 2 1     
   183 -14.545 -15.802 16.701  1.060  0.926  0.504  0.005 0.023 0.011 0.045  2 2 1 1     
   184 -14.529  14.264 15.299  0.896  0.802  0.452  0.009 0.014 0.010 0.016  2 2 2 1     
   185 -14.524 -13.242 16.750  0.904  0.693  0.082  0.022 0.027 0.024 0.037  2 2 1 1     
   186 -14.516  18.753 16.117  0.783  0.658  0.051  0.002 0.016 0.002 0.016  2 2 2 1     
   187 -14.464  -9.640 14.435  0.978  0.805  0.260  0.003 0.005 0.004 0.009  2 2 2 1  239                                    AR61
   188 -14.416  21.278 15.991  0.984  0.916  0.571  0.001 0.021 0.001 0.028  2 2 2 1     
   189 -14.369   8.018 15.295  0.804  0.637  0.071  0.004 0.008 0.008 0.013  2 2 2 1     
   190 -14.336  -9.334 16.516  0.992  0.800  0.287  0.002 0.007 0.008 0.030  2 2 1 1     
   191 -14.325   6.891 16.346  0.862  0.704  0.195  0.002 0.032 0.006 0.022  2 2 2 1     
   192 -14.313  21.321 16.693  0.914  0.804  0.206  0.004 0.011 0.009 0.033  2 2 2 1     
   193 -14.302   1.744 14.638  1.250  1.155  0.920  0.003 0.006 0.003 0.020  2 2 2 1     
   194 -14.278 -15.514 15.607  1.117  0.993  0.550  0.006 0.015 0.008 0.025  2 2 2 1     
   195 -14.240  -4.940 15.936  0.952  0.888  0.383  0.004 0.016 0.004 0.020  2 2 2 1     
   196 -14.227  17.554 12.361  1.091  1.066  0.840  0.001 0.008 0.002 0.002  2 2 2 2 1256
   197 -14.214  -4.231 16.327  1.141  0.996  0.543  0.001 0.007 0.007 0.034  2 2 1 1     
   198 -14.201 -13.442 11.557  0.716  0.530  0.092  0.020 0.020 0.021 0.005  1 1 1 2 1534
   199 -14.126   0.500 15.023  1.154  1.032  0.700  0.001 0.017 0.003 0.019  2 2 2 1     
   200 -14.119  -0.663 15.193  1.226  1.107  0.848  0.000 0.007 0.003 0.021  2 2 2 1     
   201 -14.059  -3.058 16.766  0.928  0.741  0.193  0.000 0.008 0.010 0.030  2 2 1 1     
   202 -14.030  18.021 15.128  0.834  0.761  0.195  0.009 0.012 0.010 0.012  2 2 2 1     
   203 -13.994 -10.879 15.535  0.959  0.869  0.428  0.014 0.017 0.015 0.019  2 2 2 1     
   204 -13.982   4.525 15.489  0.961  0.781  0.212  0.000 0.011 0.013 0.018  2 2 2 1     
   205 -13.972  -9.432 15.957  1.075  0.918  0.402  0.001 0.013 0.005 0.032  2 2 2 1     
   206 -13.959  10.766 15.265  0.857  0.749  0.219  0.004 0.010 0.006 0.014  2 2 2 1     
   207 -13.843  20.923 15.305  0.977  0.846  0.295  0.009 0.024 0.009 0.015  2 2 2 1     
