# 
# Source: WEBDA
# 
# F1  V vs B-V membership flag
# F2  V vs V-I membership flag
# F3  B-V vs V-I membership flag
# F4  Candidate membership flag
# F5  Binarity flag
# 
# ID    RAh RAm RAs  DE- DEd DEm DEs      V     B-V     V-I  F1 F2 F3 F4 F5
     ID              RAJ2000               DEJ2000     Vmag      B-V      V-I   F1   F2   F3   F4   F5  
    190   118.57097916666665   -60.317638888888894   20.228   -9.999    2.555    0   -1    0   -1    0  
    191   118.57142083333333    -61.15240555555555   20.003   -9.999    3.386    0   -1    0   -1    0  
    192   118.57158749999999    -60.77435277777778   18.764   -9.999    2.803    0    1    0    1    1  
    193   118.57160416666666   -60.709586111111115   17.945    1.018    0.998   -1   -1    1   -1    0  
    194   118.57168749999998   -60.709561111111114   18.005     0.88    1.041   -1   -1    1   -1    0  
    195   118.57199583333332   -60.365433333333335   15.918    0.533    0.683   -1   -1    1   -1    0  
    196   118.57231666666667   -60.539113888888885    17.86     0.69    1.093   -1   -1   -1   -1    0  
    197          118.5724875   -60.504622222222224   18.858    0.746    0.949   -1   -1    1   -1    0  
    198   118.57250416666665    -61.06772777777778   18.577    0.795    1.073   -1   -1    1   -1    0  
    199   118.57254166666667    -60.50465833333333   18.964    0.549    0.989   -1   -1   -1   -1    0  
    200   118.57269999999998    -61.12467222222222    18.94    0.773    1.115   -1   -1   -1   -1    0  
    201   118.57285833333333    -60.54589166666666   18.003    0.623     0.87   -1   -1    1   -1    0  
    202   118.57302499999999    -60.45138055555556    19.52   -9.999    2.084    0   -1    0   -1    0  
    203   118.57334583333332    -60.76733055555555   16.578    0.855    1.062   -1   -1    1   -1    0  
    204   118.57335833333333   -60.544980555555554   18.413    0.594    1.048   -1   -1   -1   -1    0  
    205   118.57348333333331    -60.60206111111111   19.732   -9.999    1.033    0   -1    0   -1    0  
    206   118.57352083333332    -60.65639722222222   19.495   -9.999    1.127    0   -1    0   -1    0  
    207   118.57357083333332   -61.117419444444444   19.945   -9.999    1.581    0   -1    0   -1    0  
    208   118.57381249999999   -60.440416666666664   19.498    0.884    1.001   -1   -1    1   -1    0  
    209   118.57381249999999    -60.60290555555556   19.937   -9.999    1.236    0   -1    0   -1    0  
    210          118.5738625   -60.338544444444445   20.278   -9.999    1.512    0   -1    0   -1    0  
    211   118.57406249999998    -60.89376388888889   15.626    0.655    0.856   -1   -1    1   -1    0  
    212          118.5742875             -60.35815   19.162    0.577    0.905   -1   -1   -1   -1    0  
    213   118.57435416666665    -60.68073888888889    19.89   -9.999    1.143    0   -1    0   -1    0  
    214   118.57448333333333    -60.50467777777778   19.733   -9.999     1.46    0   -1    0   -1    0  
    215   118.57454999999999   -60.396905555555556   18.903    0.747    0.923   -1   -1    1   -1    0  
    216   118.57483749999999    -60.39310555555556   12.806    0.217    0.274   -1   -1    1   -1    0  
    217   118.57494583333333    -60.91041111111111   16.789    1.225    1.412   -1   -1    1   -1    0  
    218   118.57535416666667   -60.890502777777776   19.994   -9.999    1.058    0   -1    0   -1    0  
    219   118.57540833333333    -60.47753055555556   18.927    0.878    1.024   -1   -1    1   -1    0  
    220   118.57543333333332    -60.85395277777778   19.155    0.447    1.293   -1   -1   -1   -1    0  
    221   118.57547083333333    -60.67301944444444   16.542    0.479    0.659   -1   -1    1   -1    0  
    222   118.57552916666666   -60.911008333333335   16.908    1.231    1.377   -1   -1    1   -1    0  
    223   118.57564166666666            -60.662175   18.592    0.885    1.153   -1   -1    1   -1    0  
    224          118.5758625    -60.34059166666667    18.66    0.902    0.958   -1   -1    1   -1    0  
    225   118.57589583333333   -60.846563888888895   19.397    1.215    0.396   -1   -1   -1   -1    0  
    226   118.57602499999999    -60.45781388888889   19.826   -9.999    1.293    0   -1    0   -1    0  
    227   118.57614583333333    -60.97111666666667   15.431     0.95    1.096   -1   -1    1   -1    0  
    228          118.5763875    -61.03952222222222   19.776    0.509    0.307   -1   -1   -1   -1    0  
    229   118.57643333333331   -60.668327777777776   17.826    1.628      1.8    1   -1   -1   -1    0  
    230          118.5764375    -60.53006111111111   19.137    0.866    0.907   -1   -1    1   -1    0  
    231   118.57677916666667   -60.909019444444446   20.721   -9.999    2.376    0   -1    0   -1    0  
    232   118.57682916666666    -60.92065833333333   17.554    0.776    1.083   -1   -1   -1   -1    0  
    233   118.57700416666665    -60.82268888888889   18.099    0.638     1.06   -1   -1   -1   -1    0  
    234   118.57702083333332    -60.80143333333333   17.846    1.167    1.334   -1   -1    1   -1    0  
    235   118.57717499999998    -60.39921666666667   16.951    0.762    0.921   -1   -1    1   -1    0  
    236   118.57727083333333    -60.56756666666667   17.097    0.776    1.402   -1   -1   -1   -1    0  
    237   118.57728333333331   -60.697630555555556   18.438    1.545    2.441    1    1    1    1    0  
    238   118.57747916666665    -60.49344444444444   19.775   -9.999    2.715    0    1    0    1    0  
    239   118.57763333333332            -61.164375   16.487    1.478    2.292    1   -1    1   -1    0  
    240          118.5776625    -60.49346388888889    19.93   -9.999    2.859    0    1    0    1    0  
    241           118.577725   -60.591461111111116   17.951    0.843    1.003   -1   -1    1   -1    0  
    242   118.57786666666667    -60.74010555555556    17.86    0.807    1.054   -1   -1    1   -1    0  
    243   118.57819166666665    -60.70635277777778   16.018    1.352    1.593    1    1    1    1    0  
    244   118.57827499999999    -60.32586111111112   18.987    0.595    0.854   -1   -1    1   -1    0  
    245   118.57835416666666    -60.84900277777778   18.272   -9.999    2.396    0    1    0    1    0  
    246           118.578475    -60.56760833333334   14.154    1.233    1.356   -1   -1    1   -1    0  
    247          118.5788875    -60.41607777777778   17.852    0.954    1.071   -1   -1    1   -1    0  
    248   118.57905833333332   -60.529519444444446    17.34    0.795    0.994   -1   -1    1   -1    0  
    249           118.579225    -60.57791111111111   16.492    0.874    1.072   -1   -1    1   -1    0  
    250   118.57943333333333    -60.42921666666666   17.591    0.554    0.734   -1   -1    1   -1    0  
    251   118.57957916666666   -61.136494444444445   19.577   -9.999    1.292    0   -1    0   -1    0  
    252   118.57968333333332   -60.610508333333335   17.914    0.961    1.137   -1   -1    1   -1    0  
    253   118.57980833333332    -60.56608055555555   15.309    1.174      1.3    1    1    1    1    0  
    254   118.58000833333332    -61.03001944444444   17.574    0.954    1.163   -1   -1    1   -1    0  
    255   118.58009583333332    -60.95378055555556   18.479    1.562    2.293    1    1    1    1    0  
    256   118.58022916666665   -60.804138888888886   18.266    1.192    1.682   -1   -1   -1   -1    0  
    257   118.58024166666667    -60.88174166666667   16.498    1.056    1.171   -1   -1    1   -1    0  
    258   118.58042499999999    -60.81869722222223   18.843   -9.999    1.619    0   -1    0   -1    0  
    259   118.58047499999999   -61.098150000000004   16.206    0.774    0.983   -1   -1    1   -1    0  
    260   118.58055833333333    -60.51783888888889   18.085    0.802    0.981   -1   -1    1   -1    0  
    261   118.58059583333332   -60.621494444444444    16.77    0.777    1.031   -1   -1   -1   -1    0  
    262   118.58093749999999   -60.438719444444445   19.713   -9.999    2.249    0   -1    0   -1    0  
    263   118.58111666666666    -60.83599166666667   17.794    0.824    0.955   -1   -1    1   -1    0  
    264   118.58113749999998    -60.81228888888889   18.677    0.978    0.828   -1   -1   -1   -1    0  
    265           118.581375   -60.823977777777785    18.73   -9.999    1.479    0   -1    0   -1    0  
    266   118.58150833333332    -60.39287222222222   19.997    0.937   -9.999   -1    0    0   -1    0  
    267   118.58157916666666    -60.99941388888889   17.753    0.949    1.151   -1   -1    1   -1    0  
    268   118.58175416666666   -61.077333333333335   17.909    0.967    1.222   -1   -1    1   -1    0  
    269   118.58181249999998    -60.80462222222222   17.406    1.453    1.893    1    1    1    1    0  
    270           118.581825    -60.34729166666667   18.497    1.862    2.916   -1   -1    1   -1    0  
    271   118.58184583333332    -60.86016111111111   18.008    0.763    0.981   -1   -1    1   -1    0  
    272   118.58189166666665    -60.51006666666667    18.17    0.796    1.122   -1   -1   -1   -1    0  
